score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2562512,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,AMD Radeon RX 580 2048SP,1960,32,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2562512
2562505,FurMark (GL),,Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,AMD Radeon RX 580 2048SP,3517,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562505
2562501,FurMark (GL),,Intel(R) Core(TM) i3-10105F CPU @ 3.70GHz,AMD Radeon RX 580 2048SP,3203,53,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562501
2562466,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,3400,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562466
2562354,FurMark (GL),,AMD Ryzen 5 2600 Six-Core Processor,AMD Radeon RX 580 2048SP,3364,55,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2562354
2562253,FurMark (GL),,AMD Ryzen 5 1600 Six-Core Processor,Radeon RX 580 Series,3699,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562253
2562209,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,4248,70,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2562209
2562202,FurMark (GL),,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,Radeon RX 580 Series,3712,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562202
2562164,FurMark (GL),,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,Radeon RX 580 Series,3460,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562164
2562138,FurMark (GL),,AMD Ryzen 5 5600 6-Core Processor,AMD Radeon RX 580 2048SP,2997,49,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2562138
2562130,FurMark (GL),,Intel(R) Core(TM) i7-9700F CPU @ 3.00GHz,Radeon RX 580 Series,3702,61,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2562130
