score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2594353,FurMark (GL),,Intel(R) Core(TM) i7-7800X CPU @ 3.50GHz,Radeon RX 580 Series,4102,68,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2594353
2594023,FurMark (GL),,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,Radeon RX 580 Series,3746,62,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2594023
2593783,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,2774,46,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2593783
2593653,FurMark (GL),,AMD Ryzen 5 3500X 6-Core Processor,Radeon RX 580 Series,2673,44,3440x1440,60000,Windows 10 build 19042,,https://gpumagick.com/scores/2593653
2593443,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,3442,57,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2593443
2593173,FurMark (GL),,11th Gen Intel(R) Core(TM) i5-11500 @ 2.70GHz,AMD Radeon RX 580 2048SP,1214,20,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2593173
2592473,FurMark (GL),,Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,Radeon RX 580 Series,4203,69,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2592473
2592423,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz,Radeon RX 580 Series,3585,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2592423
2592348,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Radeon RX 580 Series,3999,66,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2592348
2592333,FurMark (GL),,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,Radeon RX 580 Series,3883,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2592333
2592283,FurMark (GL),,AMD Ryzen 5 5600GT with Radeon Graphics,AMD Radeon RX 580 2048SP,2851,47,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2592283
2592188,FurMark (GL),,Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,Radeon RX 580 Series,3550,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2592188
2592073,FurMark (GL),,Intel(R) Xeon(R) CPU E5-1660 v4 @ 3.20GHz,Radeon RX 580 Series,3715,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2592073
2591833,FurMark (GL),,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,AMD Radeon RX 580 2048SP,3347,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2591833
